Timestamp,How much time do you read every day?,How much time do you sleep every day?,Are you in a relationship?,Do you attend your class almost regularly?,Do you study in a group?,What is your study materials?,Are you addicted to drug?,Do you like to think at the time of reading?,How much time do you pass by gathering with your friends?,Do you play online games?,Where do you live?,What's your cgpa?
11/5/2019 0:59,read before exam only,below 6 hours,No,No,No,Slide,Yes,Yes,above 2 hours,No,Hall,3.87
11/5/2019 1:02,3 hours or greater than 3,below 6 hours,No,Yes,No,Both,No,No,no gathering,No,House rent,2.6
11/5/2019 1:20,read before exam only,7 hours,No,No,Yes,Both,No,Yes,above 2 hours,Yes,House rent,3.16
11/5/2019 1:24,read before exam only,below 6 hours,No,Yes,Yes,Both,No,No,above 2 hours,Yes,With parents,3.17
11/5/2019 1:43,read before exam only,above 8 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,No,Hall,3.5
11/5/2019 1:45,read before exam only,7 hours,No,Yes,Yes,Slide,No,Yes,no gathering,Yes,House rent,3.2
11/5/2019 1:56,read before exam only,above 8 hours,No,No,No,Book,No,Yes,above 2 hours,No,House rent,2.83
11/5/2019 2:07,1 or 2 hours a day,7 hours,No,Yes,Yes,Both,No,Yes,above 2 hours,Yes,With parents,3.028
11/5/2019 2:08,read before exam only,7 hours,No,No,No,Slide,No,Yes,above 2 hours,Yes,House rent,3.63
11/5/2019 2:16,1 or 2 hours a day,7 hours,No,No,Yes,Slide,No,No,above 2 hours,Yes,House rent,3.89
11/5/2019 2:19,read before exam only,below 6 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,No,With parents,2.9
11/5/2019 2:28,read before exam only,7 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.81
11/5/2019 2:40,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,Hall,3.4
11/5/2019 3:32,read before exam only,7 hours,No,Yes,No,Both,No,No,1 hours,Yes,With parents,3.1
11/5/2019 4:42,read before exam only,above 8 hours,No,No,No,Slide,No,Yes,above 2 hours,Yes,Hall,2.7
11/5/2019 6:13,read before exam only,7 hours,No,Yes,Yes,Book,No,Yes,no gathering,No,With parents,3.56
11/5/2019 6:47,read before exam only,above 8 hours,Yes,Yes,No,Book,No,Yes,above 2 hours,No,Hall,3.35
11/5/2019 7:08,read before exam only,7 hours,No,Yes,No,Both,No,Yes,1 hours,No,Hall,3.57
11/5/2019 7:10,read before exam only,above 8 hours,Yes,No,No,Slide,Yes,No,above 2 hours,Yes,With parents,3.96
11/5/2019 7:20,read before exam only,7 hours,No,Yes,No,Both,No,Yes,above 2 hours,Yes,With parents,3.8
11/5/2019 7:35,1 or 2 hours a day,7 hours,No,Yes,Yes,Both,No,Yes,no gathering,No,With parents,3.73
11/5/2019 8:03,3 hours or greater than 3,below 6 hours,No,Yes,Yes,Book,No,No,1 hours,No,House rent,3.72
